Frame skip rate = 0
Grab Retrieve Color Resize
125 5626 2967 472 
65 4351 2615 471 
96 4377 2920 570 
94 4467 2610 584 
71 5648 2924 604 
98 4490 2961 607 
111 4459 2832 399 
64 4459 2609 383 
80 5644 2874 583 
89 5693 2657 365 
433 4277 2472 599 
108 4363 2985 630 
77 5174 2991 612 
13688 4456 2499 574 
84 4142 2959 581 
92 5526 3062 462 
67 4398 2589 381 
82 4396 2591 586 
112 4526 2780 573 
97 4829 2592 383 
84 4396 2671 584 
102 5276 3071 362 
64 5602 2926 576 
94 4315 2956 600 
109 4414 2906 386 
177 4328 2791 605 
124 5589 3021 597 
82 4908 3042 607 
11927 4223 2537 391 
82 4239 2871 582 
106 5530 2850 426 
64 4348 2576 397 
98 4321 2995 618 
75 4456 3154 617 
64 5642 2878 555 
96 4392 2944 604 
113 4522 2613 368 
74 4472 2654 387 
77 5622 2854 590 
95 5686 2801 352 
417 4349 2448 592 
81 4339 3159 638 
82 5170 3426 611 
12256 4265 2480 464 
115 4237 2851 572 
76 5547 2945 595 
82 4469 2642 399 
82 4333 2987 607 
80 4492 2980 593 
64 5630 2893 558 
147 4381 2900 581 
88 4446 2900 607 
67 4505 2740 592 
81 5629 2848 599 
75 4437 2689 611 
469 4306 3563 620 
112 4400 3180 600 
67 4430 3063 605 
13454 4284 2451 382 
100 5308 3091 579 
88 5358 2525 468 
83 4443 2546 454 
109 4332 2876 588 
77 5625 3150 470 
66 4500 2629 484 
78 4360 2929 606 
79 4445 2607 601 
75 5621 2933 565 
152 4501 2620 593 
78 4474 3036 604 
405 4322 2878 605 
85 5632 3095 612 
81 4923 3045 607 
9095 4398 2512 587 
86 4175 3587 600 
109 5555 2926 477 
67 4296 2594 459 
79 4269 2567 559 
78 4505 2804 573 
96 4730 2660 605 
88 4394 2982 597 
106 4487 2995 594 
83 5632 2976 591 
86 4332 3003 593 
81 4491 3005 381 
430 4348 2443 582 
101 4387 2571 618 
67 4402 2642 603 
17956 4338 2517 583 
118 4198 2935 584 
78 5445 2846 511 
65 4270 2649 413 
75 4379 2961 621 
110 4424 3006 604 
66 5641 2932 579 
98 4431 2979 594 
83 4504 2909 607 
65 4425 2687 386 
81 5617 2860 579 
132 5669 2666 359 
198 4339 2861 603 
113 4370 3022 594 
72 5257 3107 611 
11316 4364 2513 576 
83 4215 2964 589 
75 5559 2844 521 
64 4321 2695 449 
116 4587 2987 605 
85 4490 3164 382 
64 5626 2935 611 
96 4520 2963 606 
80 4384 2634 581 
75 4504 2697 403 
110 5637 3270 590 
96 5541 2713 477 
695 4313 2426 574 
97 4268 2561 623 
68 5046 2634 436 
16028 4382 2527 457 
138 4157 2874 601 
76 5537 3041 455 
64 4315 2600 409 
80 4391 2941 607 
80 4484 2616 615 
71 5654 2929 575 
142 4431 2976 605 
83 4487 2614 588 
72 4472 2719 405 
80 5563 2875 609 
92 5667 2799 375 
688 4353 2792 606 
116 4416 3027 638 
74 5199 3026 609 
11286 4323 2509 374 
81 4229 2934 603 
74 5516 2841 582 
86 4349 2615 411 
116 4396 2954 612 
80 4496 2601 600 
77 5649 2930 577 
100 4465 2990 603 
79 4419 2623 604 
72 4518 2749 604 
111 5638 2911 603 
95 4451 3092 549 
435 4372 2774 604 
80 4398 2946 610 
68 4413 2959 613 
14561 4435 2566 376 
80 4195 2573 599 
109 5619 2909 603 
83 4369 2583 397 
81 4394 2616 358 
78 4477 2992 606 
70 5648 3109 564 
116 4427 2900 599 
113 4509 2601 586 
77 4479 2756 606 
78 5638 2877 612 
91 5685 2799 364 
748 4381 2867 605 
115 4411 3033 609 
84 5496 3078 629 
10814 4381 2498 378 
81 4274 2972 595 
93 5585 2878 579 
68 4451 2651 399 
79 4397 2978 607 
113 4472 3170 596 
84 5636 2976 601 
88 4335 2974 606 
78 4434 3043 399 
67 4484 2674 385 
76 4958 2974 619 
111 4429 2958 595 
194 4316 3363 632 
116 4401 3026 596 
69 4417 2961 851 
14040 4435 2583 603 
86 4313 2970 609 
113 5640 2832 465 
68 4302 2602 412 
81 4380 2973 612 
81 4462 2990 604 
63 5641 2936 610 
96 4625 2947 591 
115 4451 2876 603 
62 4475 2639 385 
102 5641 2873 617 
95 5665 2765 350 
424 4318 2792 620 
81 4344 2968 620 
70 5181 3025 622 
12305 4298 2614 605 
113 4350 2965 601 
73 4475 2620 581 
72 4487 2636 386 
83 4398 2957 599 
